© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Fold Change	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
trichostatin A	 	chemical drug	 	-1.179	 	4.81E-02	ABCB10,BCL2L1,BRCA1,CD9,CKS1B,CXCL8,CYP4B1,ELF1,ERBB2,GSTM4,IGFBP1,MAT1A,MDM4,mir-154,MYC,NXF1,PAK3,PSAT1,SEMA3A,SGK1,SMO,TIMP1,TP53,WTAP	 
sulforafan	 	chemical drug	 	-0.928	 	4.85E-03	ALDH1A1,BCL2L1,CXCL8,MSTN,PML,TP53	53 (11)
okadaic acid	 	chemical toxicant	 	0.692	 	2.83E-02	BCL2L1,CXCL8,MYC,RXRA	 
pustulan	 	chemical reagent	 	 	 	2.18E-02	CXCL8	 
calphostin C	 	chemical - kinase inhibitor	 	0.739	bias	2.36E-03	BCL2L1,CXCL8,DKK1,MYC,TP53	66 (12)
selenite	 	chemical toxicant	 	 	 	2.30E-02	BCL2L1,TIMP1	 
PD 153035	 	chemical drug	 	 	 	6.61E-03	BCL2L1,CXCL8,UPK1B	 
lansoprazole	 	chemical drug	 	 	 	4.32E-02	CXCL8	 
dibucaine	 	chemical drug	 	 	 	4.32E-02	BCL2L1	 
W7	 	chemical reagent	 	 	 	2.72E-02	BIRC3,CXCL8	 
dipyridamole	 	chemical drug	 	 	 	2.72E-02	BCL2L1,TP53	 
dicumarol	 	chemical drug	 	 	 	2.18E-02	TP53	 
thiotepa	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
cycloheximide	 	chemical reagent	 	0.672	 	8.92E-03	BCL2L1,BIRC3,BRCA1,CCL20,CXCL8,IGFBP1,MYC,RCAN1,RXRA,TIMP1,TP53	74 (13)
everolimus	 	chemical drug	 	 	 	1.49E-02	ABCB10,BCL2L1,MYC	 
hydroxyurea	 	chemical drug	 	 	 	3.77E-02	CGA,MYC,SPDYA,TP53	 
zafirlukast	 	chemical drug	 	 	 	4.32E-02	CXCL8	 
cibacron blue F 3GA	 	chemical reagent	 	 	 	4.32E-02	CXCL8	 
L-threo-safingol	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
tautomycin	 	chemical - endogenous non-mammalian	 	 	 	4.32E-02	RXRA	 
ethanol	 	chemical - endogenous mammalian	 	-0.798	 	4.41E-03	BRCA1,CXCL8,CYP2E1,CYP4A11,DKK1,SGK1,TIMP1,TLR8,TP53	81 (14)
desethylamiodarone	 	chemical - endogenous mammalian	 	 	 	4.32E-02	CXCL8	 
gliotoxin	 	chemical toxicant	 	 	 	6.73E-03	BCL2L1,BIRC3	31 (4)
rifampin	 	chemical drug	 	 	 	3.30E-02	ABCB10,ALDH1A1,COL6A1,CYP2D6,CYP2E1,CYP4A11,CYP4B1	 
tetrachlorodibenzodioxin	 	chemical toxicant	 	0.239	 	3.77E-03	CXCL8,CYP4B1,ERBB2,IGFBP1,JAK2,MYC,TP53	78 (15)
lactic acid	 	chemical - endogenous mammalian	 	 	 	4.14E-02	CXCL8,LY96	 
ABT 702	 	chemical drug	 	 	 	2.18E-02	TP53	 
U0126	 	chemical - kinase inhibitor	 	-0.160	 	2.13E-02	AGO2,ARHGEF2,BCL2L1,BIRC3,CXCL8,CYP2E1,IGFBP1,INPP4A,ITGA5,KDSR,MYC,OSMR,PML,SGK1,TP53	 
tesaglitazar	 	chemical drug	 	 	 	4.32E-02	FABP2	 
BIBX1522	 	chemical - kinase inhibitor	 	 	 	4.32E-02	CXCL8	 
entinostat	 	chemical drug	 	1.693	 	3.57E-02	BCL2L1,ERBB2,LYVE1,TP53	 
thalidomide	 	chemical drug	 	0.762	bias	2.29E-03	BCL2L1,BIRC3,CXCL8,DKK1	60 (11)
methotrexate	 	chemical drug	 	-0.426	 	6.26E-03	ACSS2,ADIPOR2,C8B,CXCL8,CYP4A11,LY96,MYC,S100A11,TP53	 
talipexole	 	chemical drug	 	 	 	4.32E-02	TP53	 
GW3965	 	chemical reagent	 	1.980	 	2.50E-02	CIDEC,CXCL8,GNG11,PLIN2	 
carbonyl cyanide m-chlorophenyl hydrazone	 	chemical toxicant	 	1.980	bias	2.19E-02	CCL20,CXCL8,GNG11,SPINK1	 
di(2-ethylhexyl) phthalate	 	chemical toxicant	 	 	 	1.03E-02	CXCL8,CYP4A11,MYC	 
carboplatin	 	chemical drug	 	 	 	2.30E-02	PNKD,TP53	 
butyrine	 	chemical - endogenous mammalian	 	 	 	4.32E-02	MYC	 
D609	 	chemical reagent	 	 	 	2.72E-02	CXCL8,ITPR1	 
tetracaine	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
vorinostat	 	chemical drug	 	1.136	 	1.41E-03	BCL2L1,BIRC3,BRCA1,CXCL8,ERBB2,mir-154,mir-515,mir-548,MYC,SEMA3A,ST14,TP53	73 (14)
propafenone	 	chemical drug	 	 	 	4.32E-02	TP53	 
AN-238	 	chemical toxicant	 	 	 	2.18E-02	TP53	 
GABP	 	complex	 	 	 	4.55E-03	BRCA1,ERBB2	 
GS-626510	 	chemical reagent	 	 	 	2.18E-02	MYC	 
pubchem compound 353999	 	chemical reagent	 	 	 	2.18E-02	MYC	 
fluvastatin	 	chemical drug	 	 	 	1.85E-02	BCL2L1,CD9,CXCL8	 
lovastatin	 	chemical drug	 	1.964	 	7.84E-02	BCL2L1,HELLS,MYC,TP53	 
L-carnitine	 	chemical - endogenous mammalian	 	 	 	3.64E-02	ACR,BCL2L1	 
erlotinib	 	chemical drug	 	-0.555	 	4.35E-02	BCL2L1,CCL20,CXCL8,IGFBP7,PML	 
p-cuminaldehyde	 	chemical - endogenous non-mammalian	 	 	 	2.18E-02	BCL2L1	 
aspergillus beta-glucan	 	chemical - endogenous non-mammalian	 	 	 	2.18E-02	CXCL8	 
pneumocystis beta-glucan	 	chemical - endogenous non-mammalian	 	 	 	2.18E-02	CXCL8	 
acetaldehyde	 	chemical - endogenous mammalian	 	 	 	2.30E-02	MYC,TIMP1	 
cinnamaldehyde	 	chemical toxicant	 	-0.152	 	3.01E-02	BCL2L1,CXCL8,TP53,UGP2	 
flunitrazepam	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
mirtazapine	 	chemical drug	 	 	 	2.72E-02	BCL2L1,CYP2E1	 
SB-431542	 	chemical reagent	 	-0.651	 	7.99E-03	BGN,CGA,IGFBP7,MYC,SMAD7	64 (7)
letrozole	 	chemical drug	 	-0.415	 	6.69E-04	DKK1,ERBB2,MYC,TP53	 
tolrestat	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
MUC2	 	other	 	 	 	2.18E-02	CXCL8	 
fluoranthene	 	chemical toxicant	 	 	 	2.18E-02	TP53	 
SP600125	 	chemical - kinase inhibitor	 	-0.931	 	3.05E-02	ADAMTS9,BCL2L1,CCL20,CIDEC,CXCL8,H2AC18/H2AC19,POLD3,TP53	 
suramin	 	chemical drug	 	 	 	1.32E-02	CXCL8,MSTN,TP53	 
butenafine	 	chemical drug	 	 	 	4.32E-02	SQLE	 
rhein	 	chemical - endogenous non-mammalian	 	 	 	2.30E-02	BCL2L1,CXCL8	 
chalcone-24	 	chemical reagent	 	 	 	4.32E-02	BIRC3	 
ACS-1	 	chemical reagent	 	 	 	2.18E-02	MYC	 
vitamin K3	 	chemical drug	 	 	 	1.32E-02	CCL20,MYC,TP53	 
naftifine	 	chemical drug	 	 	 	2.18E-02	SQLE	 
adozelesin	 	chemical drug	 	 	 	2.18E-02	TP53	 
mitomycin C	 	chemical drug	 	0.751	 	2.66E-02	BCL2L1,BRCA1,CXCL8,TP53	 
Go 6976	 	chemical - kinase inhibitor	 	 	 	3.21E-02	BCL2L1,CXCL8,ERBB2	 
miridesap	 	chemical drug	 	 	 	2.18E-02	APCS	 
butylbenzyl phthalate	 	chemical toxicant	 	 	 	4.32E-02	MYC	 
BAY K8644	 	chemical reagent	 	 	 	1.55E-02	CGA,ITPR1	 
butyric acid	 	chemical - endogenous mammalian	 	0.657	 	7.27E-03	ALDH1A1,BCL2L1,CCL20,CGA,CKS1B,CXCL8,CYP4A11,IFNGR2,IQGAP1,ITGA5,ITPR2,MYC,RXRA,SGK1,TIMP1,TP53	83 (13)
propyl gallate	 	chemical toxicant	 	 	 	4.55E-03	CXCL8,TP53	 
SF 6847	 	chemical toxicant	 	 	 	4.32E-02	CXCL8	 
4-nitrophenol	 	chemical - endogenous mammalian	 	 	 	4.32E-02	BCL2L1	 
gallic acid	 	chemical - endogenous non-mammalian	 	 	 	2.72E-02	CXCL8,TP53	 
SD-1008	 	chemical - kinase inhibitor	 	 	 	4.32E-02	BCL2L1	 
zearalenone	 	chemical toxicant	 	 	 	2.30E-02	BCL2L1,MYC	 
zeranol	 	chemical - endogenous mammalian	 	 	 	3.64E-02	BCL2L1,MYC	 
hymecromone	 	chemical drug	 	0.000	 	3.03E-03	BCL2L1,CXCL8,CXCR1,ERBB2	8 (3)
salicylic acid	 	chemical drug	 	-0.293	 	8.37E-03	BCL2L1,BGN,CXCL8,CYP2E1	46 (7)
sodium orthovanadate	 	chemical reagent	 	 	 	7.72E-03	BCL2L1,CXCL8,TP53	64 (12)
nitroprusside	 	chemical drug	 	 	 	3.21E-02	BCL2L1,IFNGR2,MYC	 
cobalt chloride	 	chemical reagent	 	0.975	 	4.41E-02	ABCB10,CXCL8,PLIN2,TP53	 
potassium iodide	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
ammonium chloride	 	chemical drug	 	 	 	4.66E-02	CD9,RCAN1	 
nickel subsulfide	 	chemical toxicant	 	 	 	4.32E-02	CXCL8	 
cisplatin	 	chemical drug	 	-0.878	 	2.89E-02	ABCB10,AHSA2P,ALDH1A1,BCL2L1,BLOC1S2,BRCA1,CLSTN3,CXCL8,DKK1,IER5,ISYNA1,LAMB1,MYC,RPS21,SPDYA,TIMP1,TP53,USP3	 
DETA-NONOate	 	chemical reagent	 	 	 	4.34E-02	BCL2L1,CXCL8,MYC	 
FS-93	 	chemical reagent	 	 	 	4.32E-02	ERBB2	 
E2f-Dp1	 	complex	 	 	 	4.32E-02	BRCA1	 
tilimycin	 	chemical - endogenous non-mammalian	 	 	 	2.18E-02	TP53	 
TFMB-(R)-2-HG	 	chemical reagent	 	 	 	2.18E-02	TP53	 
SU11333	 	chemical - kinase inhibitor	 	 	 	2.18E-02	MYC	 
Am 580	 	chemical toxicant	 	0.447	 	2.36E-03	CYP2E1,CYP4A11,PLIN2,SQLE,TIMP1	 
retinol	 	chemical drug	 	 	 	1.91E-02	CXCL8,PLIN2	 
CD 437	 	chemical drug	 	-1.368	bias	1.40E-02	ARHGDIB,EIF4A1,ERH,ILF2,KIF2C,MYC,RPL19,RPS2,SLC25A3,TP53	 
tretinoin	 	chemical - endogenous mammalian	 	-1.014	 	5.89E-03	ACSS2,ALDH1A1,AP1S2,BCL2L1,BIRC3,BRCA1,C5AR1,CCL20,CD53,CD9,CGA,CTSS,CXCL8,CYP4B1,DHX33,DLG4,EIF4A1,GCA,HSPD1,IGFBP7,ITPR2,LGALS3BP,LGALS9,MAP3K1,mir-101,mir-154,MYC,NAV2,PML,PPM1B,RXRA,SMAD7,TAC1,TIMP1,TP53,UBA1,USP3,VSIG4	93 (14)
histamine	 	chemical - endogenous mammalian	 	0.095	 	4.64E-02	BCL2L1,CGA,CXCL8,SEMA3A	 
CB-PIC	 	chemical reagent	 	 	 	2.77E-03	ABCB10,BCL2L1	 
ethylenediaminetetraacetic acid	 	chemical drug	 	 	 	1.22E-02	CXCL8,CXCR1	 
benzene	 	chemical toxicant	 	 	 	2.18E-02	CYP2E1	 
Boc-D-FMK	 	chemical reagent	 	 	 	6.73E-03	CXCL8,JAK2	 
ATSP-7041	 	chemical reagent	 	 	 	2.18E-02	TP53	 
dehydrocostus lactone	 	chemical - endogenous non-mammalian	 	 	 	1.22E-02	MYC,TP53	 
PF-4800567	 	chemical - kinase inhibitor	 	 	 	2.18E-02	MYC	 
Z-YVAD-FMK	 	chemical reagent	 	 	 	2.18E-02	CXCL8	 
D-JNK inhibitor I	 	biologic drug	 	 	 	2.18E-02	CXCL8	 
Z-WEHD-FMK	 	chemical - protease inhibitor	 	 	 	4.32E-02	CXCL8	 
Z-LLL-CHO	 	chemical - protease inhibitor	 	-0.225	 	2.49E-02	AGO2,ARHGDIB,BCL2L1,BIRC3,BUB1B,CXCL8,HSPD1,MYC,RXRA,TIMP1,TP53	 
actinomycin D	 	biologic drug	 	-0.357	 	3.19E-02	BIRC3,BRCA1,CXCL8,MYC,ROCK2,SMAD7,TP53	 
N-carbobenzyloxy-leucine-leucine-norvalinal	 	chemical - protease inhibitor	 	 	 	3.16E-02	CXCL8,RXRA	 
Sn50 peptide	 	chemical toxicant	 	0.314	bias	1.90E-03	BCL2L1,BIRC3,CXCL8,IFNGR2,TP53	56 (8)
N-Ac-Leu-Leu-norleucinal	 	chemical - protease inhibitor	 	-0.943	 	3.01E-02	BCL2L1,BRCA1,CXCL8,TP53	 
octreotide	 	biologic drug	 	 	 	2.30E-02	IGFBP1,TP53	 
NRP2-PLXNA1	 	complex	 	 	 	2.18E-02	TP53	 
pepleomycin	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
microcystin-LR	 	chemical toxicant	 	 	 	4.32E-02	MYC	 
alvocidib	 	chemical drug	 	1.533	 	3.03E-03	BCL2L1,BIRC3,ERBB2,TP53	 
anti-benzo(a)pyrene-diol-epoxide	 	chemical toxicant	 	 	 	2.30E-02	BRCA1,TP53	 
doxorubicin	 	chemical drug	 	-0.177	 	3.90E-03	BARD1,BCL2L1,BIRC3,BRCA1,BUB1B,CXCL8,EEF1B2,IGFBP7,JAK2,LGALS3BP,MYC,SFN,SMAD7,TP53	70 (16)
coumermycin	 	chemical drug	 	 	 	4.32E-02	ERBB2	 
daunorubicin	 	chemical drug	 	 	 	1.66E-02	BCL2L1,MYC,TP53	 
bisindolylmaleimide iv	 	chemical - kinase inhibitor	 	 	 	1.96E-03	CGA,CXCL8,MYC	45 (11)
thapsigargin	 	chemical toxicant	 	-0.693	 	1.28E-03	ADIPOR2,BIRC3,C5AR1,CXCL8,MYC,RCAN1,SFN,SGK1,TP53	63 (15)
gossypol	 	chemical drug	 	 	 	1.91E-02	BCL2L1,CXCL8	 
cucurbitacin B	 	chemical - endogenous non-mammalian	 	 	 	1.11E-03	BCL2L1,MYC,TP53	18 (3)
parthenolide	 	chemical drug	 	 	 	2.71E-02	BCL2L1,CXCL8,TP53	 
bardoxolone methyl	 	chemical drug	 	 	 	7.72E-03	BCL2L1,BIRC3,MYC	21 (6)
triptolide	 	chemical drug	 	-0.047	 	6.88E-03	BCL2L1,CXCL8,ERBB2,MYC,TP53	49 (12)
myricetin	 	chemical - endogenous non-mammalian	 	 	 	2.72E-02	MYC,TP53	 
genistein	 	chemical drug	 	0.303	 	9.39E-03	ABCA9,AP1S2,BCL2L1,CXCL8,CXCR1,DKK1,ERBB2,KDSR,MAP3K1,MYC,RRAGC,TP53	83 (14)
3-hydroxyflavone	 	chemical - endogenous non-mammalian	 	 	 	4.32E-02	BCL2L1	 
morin	 	chemical - endogenous non-mammalian	 	 	 	3.16E-02	BCL2L1,TIMP1	 
quercetin	 	chemical drug	 	0.468	 	1.07E-02	BCL2L1,CXCL8,CYP2E1,MYC,SMAD7,TP53	 
3-methoxyapigenin	 	chemical - endogenous non-mammalian	 	 	 	2.18E-02	MYC	 
fisetin	 	chemical toxicant	 	1.165	 	2.29E-03	BCL2L1,BIRC3,MYC,TP53	21 (6)
deguelin	 	chemical drug	 	 	 	1.96E-03	BCL2L1,CXCL8,TP53	 
tangeretin	 	chemical - endogenous non-mammalian	 	 	 	1.55E-02	BCL2L1,TP53	 
irinotecan	 	chemical drug	 	 	 	2.30E-02	BCL2L1,TP53	 
capsaicin	 	chemical drug	 	1.886	 	1.01E-02	BCL2L1,CXCL8,ERBB2,RXRA	 
lisofylline	 	chemical drug	 	 	 	4.32E-02	LAMB1	 
vinflunine	 	chemical drug	 	 	 	4.32E-02	TP53	 
berberine	 	chemical drug	 	0.518	 	2.49E-04	BCL2L1,BIRC3,CXCL8,CYP2E1,CYP4A11,ERBB2,TIMP1,TP53	73 (14)
SN-38	 	chemical drug	 	-0.388	 	5.88E-06	BCL2L1,BIRC3,CCL20,ERBB2,GNG11,MYC,TP53	42 (9)
UCN-01	 	chemical drug	 	 	 	1.49E-02	BCL2L1,CXCL8,TP53	 
tetrandrine	 	chemical drug	 	 	 	4.68E-03	CXCL8,SIAE,TP53	46 (7)
tetrahydropalmatine	 	chemical - endogenous non-mammalian	 	 	 	4.32E-02	CXCL8	 
vincristine	 	chemical drug	 	0.000	 	1.41E-02	BCL2L1,BRCA1,BUB1B,TP53	 
noscapine	 	chemical drug	 	 	 	3.16E-02	BCL2L1,BIRC3	 
emetine	 	chemical toxicant	 	 	 	4.32E-02	BCL2L1	 
arecoline	 	chemical drug	 	 	 	4.66E-02	BCL2L1,ERBB2	 
paclitaxel	 	chemical drug	 	0.840	 	1.51E-03	ABCB10,ARHGEF2,BCL2L1,BIRC3,CXCL8,CYP2E1,INPP4A,ITGA5,KDSR,MAP3K1,MYC,OSMR,PNKD,TP53	73 (15)
staurosporine	 	chemical - kinase inhibitor	 	-1.115	 	2.27E-04	BCL2L1,CXCL8,CYP2E1,IGFBP1,MYC,PIAS3,RCAN1,TP53	73 (17)
camptothecin	 	chemical drug	 	-0.814	 	6.55E-04	ARRB2,BCL2L1,BIRC3,BRCA1,CCL20,CXCL8,DKK1,EEF1B2,FLOT2,GPHN,IER5,INPP4A,ITPR1,MAFF,MYC,PLIN2,PPEF2,RBMS1,SFN,SPDYA,SPG7,SPINK1,TP53,VAC14,VRK2	61 (13)
D-lysergic acid diethylamide	 	chemical drug	 	 	 	2.18E-02	SGK1	 
tartaric acid	 	chemical reagent	 	 	 	2.18E-02	ERBB2	 
6-hydroxydopamine	 	chemical toxicant	 	 	 	2.05E-02	BCL2L1,TAC1,TP53	 
dopamine	 	chemical - endogenous mammalian	 	 	 	2.48E-02	BCL2L1,CXCL8,TAC1	 
iodine-131	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
ISA-2011B	 	chemical - kinase inhibitor	 	 	 	2.18E-02	TP53	 
AG490	 	chemical - kinase inhibitor	 	0.861	bias	3.20E-04	BCL2L1,BIRC3,CXCL8,JAK2,LY96,MYC,TIMP1	71 (11)
docosahexaenoic acid	 	chemical drug	 	-0.973	 	4.56E-04	ACSS2,BCL2L1,CXCL8,IFNA16,IGFBP1,MSTN,MYC,RXRA,SMAD7	71 (13)
ionomycin	 	chemical reagent	 	0.163	 	4.96E-02	BCL2L1,CIDEC,CXCL8,MYC,RCAN1,SGK1	 
palmitic acid	 	chemical - endogenous mammalian	 	1.939	 	2.41E-02	ADIPOR2,BCL2L1,CXCL8,HTR2B,IGFBP1,PLIN2,TP53	 
elaidic acid	 	chemical - endogenous mammalian	 	0.447	bias	4.72E-02	ALDH1A1,BRCA1,CD9,LIPH,SQLE	 
neuroprotectin D1	 	chemical - endogenous mammalian	 	 	 	2.72E-02	BCL2L1,CCL20	 
ceramide	 	chemical - endogenous mammalian	 	 	 	1.66E-02	CXCL8,MYC,TP53	 
5-oxo-6-8-11-14-(e,z,z,z)-eicosatetraenoic acid	 	chemical - endogenous mammalian	 	 	 	4.32E-02	MYC	 
cyclosporin A	 	biologic drug	 	-0.891	 	1.97E-02	BCL2L1,CXCL8,HSPD1,ITPR1,MYC,RCAN1,RXRA,TAF15,TIMP1,TNFRSF12A,TP53	 
dichlororibofuranosylbenzimidazole	 	chemical toxicant	 	 	 	7.87E-04	CXCL8,MYC,TP53	53 (10)
5-azacytidine	 	chemical drug	 	1.286	 	2.98E-02	BCL2L1,BRCA1,DKK1,HSPD1,LDHB,MAFF,MYC	 
decitabine	 	chemical drug	 	-1.509	 	6.98E-03	ABCB10,ARHGDIB,BIRC3,CD9,CXCR1,CYP4B1,DNAJC15,EEF1B2,ERBB2,HELLS,IGFBP7,LY96,MAGEC1,MAT1A,MDM4,mir-154,MYC,PAK3,PLAAT1,PSAT1,SFN,SGK1,SMO,ST14,TMEFF2,TP53,UBA1	 
ribonucleoside	 	chemical - endogenous mammalian	 	 	 	4.32E-02	IGFBP1	 
deoxyribonucleoside	 	chemical - endogenous mammalian	 	 	 	4.32E-02	IGFBP1	 
lactacystin	 	chemical - protease inhibitor	 	-1.980	 	1.06E-01	ARHGDIB,BRCA1,CD9,CXCL8,ERBB2,TP53	 
gambogic acid	 	chemical - endogenous non-mammalian	 	 	 	1.96E-03	BCL2L1,BIRC3,MYC	46 (10)
poractant alfa	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
dapsone	 	chemical drug	 	 	 	2.18E-02	CXCL8	 
rebamipide	 	chemical drug	 	 	 	2.30E-02	CXCL8,TIMP1	 
ethionine	 	chemical toxicant	 	 	 	4.32E-02	SLC25A3	 
melphalan	 	chemical drug	 	 	 	4.14E-02	BCL2L1,TP53	 
N-acetyl-L-cysteine	 	chemical drug	 	-0.016	 	4.81E-02	BCL2L1,BIRC3,CCL20,CXCL8,LY96,MYC,TP53	 
sivelestat	 	chemical drug	 	 	 	4.32E-02	C5AR1	 
mimosine	 	chemical drug	 	 	 	4.55E-03	RXRA,TP53	 
lipopolysaccharide	 	chemical drug	 	-0.204	 	6.64E-03	ABCB10,ANKRD22,BIRC3,C5AR1,CCL20,CEMIP,CENPI,CXCL8,CXCR1,CYP2E1,F2RL2,FABP2,FLOT2,GCA,IFNGR2,IGFBP1,KCNAB2,LGALS9,LY96,mir-154,MYC,PLIN2,PML,RCAN1,SEMA3A,SMAD7,TAC1,TAGAP,TIMP1,TLR8,TP53,WTAP	92 (14)
methyl-beta-cyclodextrin	 	chemical drug	 	 	 	5.59E-03	BCL2L1,CXCL8,MYC	58 (10)
D-glucose	 	chemical - endogenous mammalian	 	-0.400	 	3.28E-02	BCL2L1,CCL20,CXCL8,FAIM,GFPT1,ITGA5,ITPR2,LY96,mir-154,PPEF2,SGK1,TIMP1,TP53,TRPS1	 
cytokine	 	group	 	-0.555	 	1.70E-02	BCL2L1,C5AR1,CXCL8,IGFBP1,MYC,SGK1,TIMP1	 
D-mannose	 	chemical - endogenous mammalian	 	 	 	2.18E-02	CXCL8	 
lactulose	 	chemical - endogenous mammalian	 	 	 	2.18E-02	CXCL8	 
tetradecanoylphorbol acetate	 	chemical drug	 	0.224	 	6.66E-03	BCL2L1,BIRC3,C5AR1,CCL20,CEMIP,CGA,CIDEC,CXCL8,DSG3,ERBB2,FHL3,GLRX3,H4C3,IFNGR2,IGFBP1,KIF2C,MYC,NAV2,RASGRP1,RCAN1,RPL19,RXRA,SGK1,TIMP1,TLR8,TNFRSF12A,TP53,VSIG4	99 (15)
7-ketocholesterol	 	chemical - endogenous mammalian	 	 	 	2.72E-02	CXCL8,TP53	 
dehydroisoandrosterone	 	chemical - endogenous mammalian	 	 	 	1.85E-02	IGFBP1,MYC,TP53	 
medroxyprogesterone acetate	 	chemical drug	 	-1.107	 	1.33E-02	ABCB10,BCL2L1,C9orf24,IGFBP1,IGFBP7,MYC,S100A11,SGK1	 
androsterone	 	chemical - endogenous mammalian	 	 	 	4.32E-02	SLC45A3	 
estrogen	 	chemical drug	 	0.186	 	2.87E-02	APCS,BARD1,BRCA1,DLG4,ERBB2,GRIN2D,IGFBP1,MYC	 
oxysterol	 	chemical - endogenous mammalian	 	 	 	2.72E-02	CXCL8,MYC	 
progesterone	 	chemical - endogenous mammalian	 	-0.060	 	4.65E-02	BCL2L1,BIRC3,BRCA1,C5AR1,CXCL8,DKK1,ERBB2,IGFBP1,MYC,SGK1,SPINK1,TP53	 
isoflavone	 	chemical drug	 	 	 	2.18E-02	BCL2L1	 
clofibric acid	 	chemical drug	 	 	 	1.11E-03	CGA,FABP2,TP53	 
V2+	 	chemical toxicant	 	 	 	2.18E-02	CXCL8	 
Ni2+	 	chemical reagent	 	 	 	1.17E-02	BIRC3,CCL20,CXCL8	 
platinum	 	chemical drug	 	 	 	2.18E-02	BARD1	 
cadmium	 	chemical toxicant	 	-1.091	 	1.04E-03	BCL2L1,ITPR1,MYC,TIMP1,TP53	64 (7)
1-phenazinecarboxylic acid	 	chemical - endogenous non-mammalian	 	 	 	4.32E-02	CXCL8	 
